NM,H2,CH4,C2H6,C2H4,C2H2,Type
100,300.0,700.0,280.0,1700.0,36.0,High-temperature overheating
101,107.0,143.0,34.0,222.0,2.0,High-temperature overheating
102,54.54,71.93,9.72,97.37,6.58,High-temperature overheating
103,116.17,180.83,52.48,278.18,5.36,High-temperature overheating
104,5760.0,540.0,40.5,1000.0,2760.0,Arc discharge
105,50.18,171.12,74.7,148.69,0.0,Middle-temperature overheating
106,20.0,80.2,24.6,68.6,0.0,Middle-temperature overheating
107,28.97,10.94,1.64,6.96,4.36,High-temperature overheating
108,15.9,55.98,22.33,137.25,0.21,High-temperature overheating
109,47.6,19.1,4.21,27.0,0.72,Low-temperature overheating
110,40.0,102.6,32.3,183.3,0.2,Arc discharge
111,50.35,65.58,21.05,99.13,0.96,High-temperature overheating
112,2.369,119.69,21.891,20.15,0.0,Low-temperature overheating
113,120.45,210.91,35.7,285.39,15.86,High-temperature overheating
114,87.17,17.26,3.94,12.87,32.81,Spark discharge
115,5.48,48.82,96.81,489.57,0.3,High-temperature overheating
116,605.0,1586.0,655.0,1901.0,2.3,High-temperature overheating
117,1.96,2.1,0.5,0.67,1.59,Spark discharge
118,462.0,212.4,31.6,0.0,0.0,Partial discharge
119,25.4,54.97,8.72,77.84,10.47,High-temperature overheating
120,131.7,116.55,19.4,183.97,0.32,High-temperature overheating
121,7911.85,947.43,96.93,907.19,4844.48,Spark discharge
122,21.0,2.01,0.46,1.48,5.61,Spark discharge
123,676.74,969.55,570.57,2483.26,17.48,High-temperature overheating
124,7238.97,695.16,231.6,2394.3,2308.92,Arc discharge
125,101.5,24.45,8.97,128.37,0.0,High-temperature overheating
126,73.8,148.0,38.9,181.0,1.76,High-temperature overheating
127,34.76,5.52,2.09,4.97,10.36,Spark discharge
128,18.19,21.99,6.58,46.92,3.97,High-temperature overheating
129,1.6,1.0,0.1,0.9,1.6,Spark discharge
130,22400.0,22400.0,2690.0,13440.0,1570.0,High-temperature overheating
131,670.0,224.0,45.0,67.0,2.0,Middle-temperature overheating
132,224.0,4.5,2.0,0.0,0.0,Low-temperature overheating
133,900.0,9180.0,0.0,900.0,22.0,Low-temperature overheating
134,0.0,224.0,0.0,45.0,0.0,Low-temperature overheating
135,470.0,4637.0,1300.0,448.0,0.0,Low-temperature overheating
136,65.0,20.0,10.0,5.0,0.0,Low-temperature overheating
137,53.0,39.0,3.0,4.5,0.0,Low-temperature overheating
138,219.0,44.0,3.0,3.0,0.0,Low-temperature overheating
139,37.0,47.0,10.0,5.5,0.0,Low-temperature overheating
140,34.0,30.0,34.0,2.5,0.0,Low-temperature overheating
141,14.0,62.0,16.0,3.0,0.0,Low-temperature overheating
142,65.0,34.0,16.0,112.0,0.0,High-temperature overheating
143,0.7,1.5,0.3,1.8,0.0,Middle-temperature overheating
144,0.0,0.2,0.1,0.13,0.0,Middle-temperature overheating
145,48.0,40.0,11.0,0.5,0.0,Low-temperature overheating
146,130.0,140.0,24.0,120.0,0.0,Low-temperature overheating
147,86.0,8.0,2.5,2.5,0.0,Low-temperature overheating
148,6.0,3.0,0.8,0.7,0.0,Low-temperature overheating
149,50.0,3.0,1.0,0.0,0.0,Low-temperature overheating
150,55.0,22.0,0.5,2.6,0.0,Low-temperature overheating
151,78.0,66.0,62.0,2.6,0.0,Low-temperature overheating
152,1600.0,3600.0,670.0,14.0,0.0,Partial discharge
153,6600.0,1000.0,38.0,2.0,19.0,Partial discharge
154,88.0,9.0,0.0,0.03,0.0,Partial discharge
155,2240.0,168.0,25.0,0.0,0.0,Partial discharge
156,1950.0,123.0,38.0,2.0,2.0,Partial discharge
157,2240.0,157.0,90.0,45.0,45.0,Partial discharge
158,73.0,8.0,4.0,2.0,12.0,Spark discharge
159,5000.0,4000.0,2000.0,2000.0,8000.0,Spark discharge
160,24.3,15.7,6.4,11.2,29.8,Spark discharge
161,2240.0,360.0,25.0,169.0,828.0,Spark discharge
162,4480.0,560.0,380.0,403.0,896.0,Spark discharge
163,2240.0,560.0,380.0,450.0,940.0,Spark discharge
164,200.0,230.0,2.0,170.0,480.0,Spark discharge
165,60.0,5.0,1.0,6.0,29.0,Spark discharge
166,890.0,110.0,3.0,84.0,700.0,Spark discharge
167,41.0,112.0,0.0,254.0,4536.0,Spark discharge
168,16000.0,4000.0,500.0,8500.0,16000.0,Arc discharge
169,21.0,75.0,24.0,126.0,0.0,High-temperature overheating
170,111.0,559.0,243.0,707.0,0.0,Middle-temperature overheating
171,23.0,59.9,18.6,56.9,0.1,Middle-temperature overheating
172,740.0,2227.0,567.0,4258.0,42.0,High-temperature overheating
173,388.0,860.0,230.0,1833.0,18.3,High-temperature overheating
174,84.0,126.0,28.9,132.2,0.37,Middle-temperature overheating
175,362.0,533.0,91.0,553.0,10.0,Middle-temperature overheating
176,103.0,221.7,47.2,422.0,0.9,High-temperature overheating
177,1769.7,554.2,145.2,1066.7,885.7,Arc discharge
178,38.0,3.7,0.0,4.1,19.4,Spark discharge
179,700.0,137.4,14.9,194.8,936.6,Spark discharge
180,253.0,21.5,5.9,16.1,72.4,Spark discharge
181,131.0,32.0,7.3,18.8,38.7,Spark discharge
182,116.0,20.0,7.0,27.0,54.0,Spark discharge
183,70,3.8,0.6,3.2,31.1,Spark discharge
184,34,18.9,3.7,9.4,5.6,Spark discharge
185,390,62.6,12.8,65.3,133.6,Arc discharge
186,1270,3450.0,520.0,1390.0,8.0,Low/Middle-temperature overheating
187,3420,7870.0,1500.0,6990.0,33.0,Low/Middle-temperature overheating
188,360,610.0,259.0,260.0,9.0,Low/Middle-temperature overheating
189,1,27.0,49.0,4.0,1.0,Low/Middle-temperature overheating
190,3675,6392.0,2500.0,7691.0,5.0,Low/Middle-temperature overheating
191,48,610.0,29.0,10.0,0.0,Low/Middle-temperature overheating
192,12,18.0,4.0,4.0,0.0,Low/Middle-temperature overheating
193,66,60.0,2.0,7.0,0.0,Low/Middle-temperature overheating
194,1450,940.0,211.0,322.0,61.0,Low/Middle-temperature overheating
195,0,18900.0,410.0,540.0,330.0,Low/Middle-temperature overheating
196,960,4000.0,1290.0,1560.0,6.0,Low/Middle-temperature overheating
197,24700,61000.0,26300.0,42100.0,1560.0,Low/Middle-temperature overheating
198,14,44.0,124.0,7.0,1.0,Low/Middle-temperature overheating
199,2031,149.0,20.0,3.0,0.0,Low/Middle-temperature overheating
200,480,1075.0,298.0,1132.0,0.0,Low/Middle-temperature overheating
201,40000,400.0,70.0,600.0,6.0,Low/Middle-temperature overheating
